address,price,area,furnishing
"3 BHK Independent House for Sale in Chandkheda, Ahmedabad","1.65 Cr ","8068 per sqft ",F
"3 BHK Independent House for Sale in Naroda, Ahmedabad","85 Lac ","6538 per sqft ",R
"3 BHK Independent House for Sale in Narolgam, Ahmedabad","25 Lac ","1471 per sqft ",U
"4 BHK Independent House for Sale in Vastral, Ahmedabad","1.10 Cr ","40741 per sqft ",N
"6 BHK Independent House for Sale in Uttam Nagar West, New Delhi","2 Cr ","7692 per sqft ",R
"4 BHK Independent House for Sale in Vivekandnagar, Ahmedabad","30 Lac ","3750 per sqft ",N
"2 BHK Independent House for Sale in Bavla, Ahmedabad","20.5 Lac ","2531 per sqft ",R
"4 BHK Independent House for Sale in Satellite, Ahmedabad","3.55 Cr ","10957 per sqft ",R
"3 BHK Independent House for Sale in Saket, New Delhi","2.50 Cr ","25000 per sqft ",R
" House for Sale in New Delhi","3.25 Cr ","6918 per sqft ",S
"2 BHK Independent House for Sale in South Extension 1, New Delhi","2.75 Cr ","22917 per sqft ",R
"5 BHK Independent House for Sale in Navjivan Vihar, Adchini, New Delhi","14.49 Cr ","64400 per sqft ",S
"5 BHK Independent House for Sale in Chandni Chowk, New Delhi","6 Cr ","37037 per sqft ",R
"3 BHK Independent House for Sale in Trilokpuri, New Delhi","50 Lac ","20000 per sqft ",S
"4 BHK Independent House for Sale in Uttam Nagar, New Delhi","55 Lac ","12222 per sqft ",U
"1 BHK Independent House for Sale in Sonia Vihar, New Delhi","19.5 Lac ","7222 per sqft ",R
"3 BHK Independent House for Sale in Naveen Shahdara, Shahdara, New Delhi","75 Lac ","13889 per sqft ",R
"4 BHK Independent House for Sale in Pitampura, New Delhi","65 Lac ","14607 per sqft ",N
"7 BHK Independent House for Sale in Chander Vihar - Mandawali, New Delhi","1.50 Cr ","150000 per sqft ",R
"5 BHK Independent House for Sale in Greater Kailash 1, New Delhi","6 Cr ","26087 per sqft ",N
"2 BHK Independent House for Sale in Kirari Suleman Nagar, New Delhi","50 Lac ","2971 per sqft ",R
"2 BHK Independent House for Sale in Nava Vadaj, Ahmedabad","40 Lac ","5714 per sqft ",S
"4 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","2.75 Cr ","6790 per sqft ",U
"5 BHK Independent House for Sale in Paldi, Ahmedabad","2.80 Cr ","10234 per sqft ",R
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","3.10 Cr ","7251 per sqft ",U
"3 BHK Independent House for Sale in Motera, Ahmedabad","2.10 Cr ","11667 per sqft ",R
"3 BHK Independent House for Sale in Science City, Ahmedabad","3.40 Cr ","13737 per sqft ",F
"4 BHK Independent House for Sale in North Bopal, Ahmedabad","75 Lac ","3704 per sqft ",R
"3 BHK Independent House for Sale in Maninagar, Ahmedabad","1.15 Cr ","5556 per sqft ",R
"4 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","1.45 Cr ","5282 per sqft ",N
"1 BHK Independent House for Sale in Vasna, Ahmedabad","25 Lac ","4085 per sqft ",U
"2 BHK Independent House for Sale in Ranip, Ahmedabad","85 Lac ","5376 per sqft ",S
"3 BHK Independent House for Sale in Navrangpura, Ahmedabad","1.30 Cr ","9760 per sqft ",R
"1 BHK Independent House for Sale in Chand Nagar, Vishnu Garden, New Delhi","65 Lac ","18056 per sqft ",R
"2 BHK Independent House for Sale in Pitampura, New Delhi","1.20 Cr ","13333 per sqft ",S
"7 BHK Independent House for Sale in Uttam Nagar, New Delhi","1.35 Cr ","7500 per sqft ",S
"2 BHK Independent House for Sale in Geeta Colony, New Delhi","32 Lac ","7111 per sqft ",R
"1 BHK Independent House for Sale in Rohini Sector 10, New Delhi","1 Cr ","33179 per sqft ",R
"4 BHK Independent House for Sale in Dwarka Sector 9, New Delhi","2.40 Cr ","15894 per sqft ",R
"4 BHK Independent House for Sale in New Delhi","9.50 Cr ","10524 per sqft ",U
"4 BHK Independent House for Sale in Karawal Nagar, New Delhi","80 Lac ","4000 per sqft ",F
"2 BHK Independent House for Sale in Mahavir Enclave, New Delhi","18 Lac ","5714 per sqft ",R
"2 BHK Independent House for Sale in Shakarpur, New Delhi","1.40 Cr ","20741 per sqft ",N
"3 BHK Independent House for Sale in Rohini Sector 16, New Delhi","70 Lac ","9972 per sqft ",R
"5 BHK Independent House for Sale in Devli Extention, Sangam Vihar, New Delhi","70 Lac ","4667 per sqft ",R
"1 BHK Independent House for Sale in West Patel Nagar, New Delhi","5 Cr ","83333 per sqft ",R
"2 BHK Independent House for Sale in New Delhi","97 Lac ","97000 per sqft ",R
